group,word,pos,phonetic,definition,example,mnemonic,tags
AP Psychology: Biological Bases (Task 2),GABA,noun,/ˈɡæb.ə/,"γ-氨基丁酸 (The primary inhibitory neurotransmitter in the brain; undersupply linked to seizures, tremors, and anxiety)",Anti-anxiety medications like benzodiazepines enhance GABA receptor sensitivity to calm nervous activity.,"GABA = Get A Break Already: brakes of the brain, puts a stop to runaway firing.","AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),norepinephrine,noun,/ˌnɔːr.ep.əˈnef.rɪn/,去甲肾上腺素 (Neurotransmitter and hormone that helps control alertness and physical arousal; undersupply can depress mood),Norepinephrine constricts blood vessels and sharpens concentration during stressful encounters.,No-Re-pining: keeps you alert and energized in danger.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),glutamate,noun,/ˈɡluː.tə.meɪt/,谷氨酸盐 (The primary excitatory neurotransmitter in the brain involved in memory; oversupply can overstimulate brain producing migraines or seizures),Excess glutamate release following a stroke contributes to excitotoxicity and cellular death.,"Glut-ton of Excitement: gluing memories together, excitatory!","AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),endorphin,noun,/enˈdɔːr.fɪn/,"内啡肽 (Natural, opiate-like neurotransmitters linked to pain alleviation and feelings of pleasure during exertion or injury)",The 'runner's high' is mediated by endogenous endorphin release in the central nervous system.,Endogenous Morphine: internal painkiller produced by the body.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),serotonin,noun,/ˌser.əˈtoʊ.nɪn/,"5-羟色胺 (Neurotransmitter affecting mood, hunger, sleep, and arousal; undersupply strongly linked to clinical depression)",Selective Serotonin Reuptake Inhibitors (SSRIs) boost synaptic serotonin levels to relieve depressive symptoms.,Sir Rotten-mood needs Serotonin to feel bright and balanced.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),dopamine,noun,/ˈdoʊ.pə.miːn/,"多巴胺 (Neurotransmitter influencing movement, learning, attention, and the brain's reward/pleasure circuits)","Excess dopamine activity is linked to schizophrenia, while dopamine neuron loss causes tremors in Parkinson's disease.",DOPE = makes you feel rewarded; Dopamine drives anticipation and reward.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),acetylcholine,noun,/əˌsiː.təlˈkoʊ.liːn/,"乙酰胆碱 (Neurotransmitter enabling muscle contraction, voluntary movement, attention, and memory; deteriorates in Alzheimer's disease)","Curare poison blocks acetylcholine receptors, resulting in paralysis, while botulinum toxin prevents its release.",ACh = Action & Memory: activates muscles and memory.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),neurotransmitter,noun,/ˌnjʊə.roʊ.trænzˈmɪt.ər/,神经递质 (Chemical messengers released across the synaptic cleft that bind to receptor sites on receiving neurons),Dopamine and serotonin are crucial neurotransmitters influencing human affect and motivation.,Keys fitting into specific lock receptors on the receiving cell.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),neural impulse,noun,/ˈnjʊə.rəl ˈɪm.pʌls/,神经冲动 (An action potential; a brief electrical charge that travels down an axon generated by the movement of positively charged ions),A neural impulse operates on an all-or-none principle: it fires completely or not at all.,The spark of electricity rushing down the axon wire.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
AP Psychology: Biological Bases (Task 2),Neurotransmission,noun,/ˌnjʊə.roʊ.trænzˈmɪʃ.ən/,神经传导 (The electrochemical process by which signaling molecules are released by axon terminals to bind to receptors on adjacent cells),Psychoactive medications act primarily by altering steps in synaptic neurotransmission.,Sending electrical and chemical signals across the synapse.,"AP Psychology, Ch3 Biological Bases, Neurotransmission"
